Provincia,Capital,Comida Típica
Azuay,Cuenca,Mote Pillo
Bolívar,Guaranda,Fritada
Cañar,Azogues,Cuy Asado
Carchi,Tulcán,Cuy con Papas
Chimborazo,Riobamba,Hornado
Cotopaxi,Latacunga,Chugchucaras
El Oro, Machala,Arroz con Camarones
Esmeraldas,Esmeraldas,Encocado de Pescado
Galápagos,Puerto Baquerizo Moreno,Langosta a la Galapagueña
Guayas,Guayaquil,Encebollado
Imbabura,Ibarra,Helados de Paila
Loja,Loja,Cecina
Los Ríos,Babahoyo,Menestra
Manabí,Portoviejo,Viche
Morona Santiago,Macas,Ayampaco
Napo,Tena,Maito de Pescado
Orellana,Puerto Francisco de Orellana,Maito de Tilapia
Pastaza,Puyo,Volquetero
Pichincha,Quito,Locro de Papa
Santa Elena,Salinas,Sango de Camarones
Santo Domingo de los Tsáchilas,Santo Domingo,Tongas
Sucumbíos,Nueva Loja,Maito de Pescado
Tungurahua,Ambato,Llapingacho
Zamora Chinchipe,Zamora,Tamal de Yuca